ID|Group|Memo|Level|Attack|Hp|CostType|CostId|CostCnt
int|int|string|int|int|int|int|int|int
1|10001|원거리|1|50|0|1|0|100
2|10001|원거리|2|55|0|1|0|108
3|10001|원거리|3|60|0|1|0|116
4|10001|원거리|4|65|0|1|0|125
5|10001|원거리|5|70|0|1|0|135
6|10001|원거리|6|75|0|1|0|145
7|10001|원거리|7|80|0|1|0|156
8|10001|원거리|8|85|0|1|0|168
9|10001|원거리|9|90|0|1|0|181
10|10001|원거리|10|95|0|1|0|195
11|11001|근거리|1|5|0|1|0|100
12|11001|근거리|2|10|0|1|0|108
13|11001|근거리|3|15|0|1|0|116
14|11001|근거리|4|20|0|1|0|125
15|11001|근거리|5|25|0|1|0|135
16|11001|근거리|6|30|0|1|0|145
17|11001|근거리|7|35|0|1|0|156
18|11001|근거리|8|40|0|1|0|168
19|11001|근거리|9|45|0|1|0|181
20|11001|근거리|10|50|0|1|0|195
21|20001|투구|1|0|20|1|0|100
22|20001|투구|2|0|40|1|0|108
23|20001|투구|3|0|60|1|0|116
24|20001|투구|4|0|80|1|0|125
25|20001|투구|5|0|100|1|0|135
26|20001|투구|6|0|120|1|0|145
27|20001|투구|7|0|140|1|0|156
28|20001|투구|8|0|160|1|0|168
29|20001|투구|9|0|180|1|0|181
30|20001|투구|10|0|200|1|0|195
31|30001|옷|1|0|20|1|0|100
32|30001|옷|2|0|40|1|0|108
33|30001|옷|3|0|60|1|0|116
34|30001|옷|4|0|80|1|0|125
35|30001|옷|5|0|100|1|0|135
36|30001|옷|6|0|120|1|0|145
37|30001|옷|7|0|140|1|0|156
38|30001|옷|8|0|160|1|0|168
39|30001|옷|9|0|180|1|0|181
40|30001|옷|10|0|200|1|0|195
41|40001|목걸이|1|5|0|1|0|100
42|40001|목걸이|2|10|0|1|0|108
43|40001|목걸이|3|15|0|1|0|116
44|40001|목걸이|4|20|0|1|0|125
45|40001|목걸이|5|25|0|1|0|135
46|40001|목걸이|6|30|0|1|0|145
47|40001|목걸이|7|35|0|1|0|156
48|40001|목걸이|8|40|0|1|0|168
49|40001|목걸이|9|45|0|1|0|181
50|40001|목걸이|10|50|0|1|0|195
51|50001|반지|1|5|0|1|0|100
52|50001|반지|2|10|0|1|0|108
53|50001|반지|3|15|0|1|0|116
54|50001|반지|4|20|0|1|0|125
55|50001|반지|5|25|0|1|0|135
56|50001|반지|6|30|0|1|0|145
57|50001|반지|7|35|0|1|0|156
58|50001|반지|8|40|0|1|0|168
59|50001|반지|9|45|0|1|0|181
60|50001|반지|10|50|0|1|0|195
61|60001|신발|1|0|20|1|0|100
62|60001|신발|2|0|40|1|0|108
63|60001|신발|3|0|60|1|0|116
64|60001|신발|4|0|80|1|0|125
65|60001|신발|5|0|100|1|0|135
66|60001|신발|6|0|120|1|0|145
67|60001|신발|7|0|140|1|0|156
68|60001|신발|8|0|160|1|0|168
69|60001|신발|9|0|180|1|0|181
70|60001|신발|10|0|200|1|0|195
