Id|GroupId|UnitId|UnitCount
int|int|int|int
1|1|1001|5
2|2|1001|5
3|2|1002|5
4|3|1002|5
5|3|1003|5
6|4|1003|10
7|5|1003|5
8|5|1002|5
9|5|1004|2
10|6|1002|10
11|7|1002|10
12|7|1003|10
13|8|1003|20
14|8|1004|2
15|9|1001|50
16|10|2001|1
17|11|1002|20
18|12|1003|20
19|13|1004|10
20|14|1003|10
21|15|1001|100
22|16|1002|10
23|16|1003|5
24|17|1003|10
25|17|1004|5
26|18|1001|10
27|18|1002|10
28|19|1001|10
29|19|1003|5
30|20|1001|5
31|20|1004|10
32|21|1002|10
33|21|1003|5
34|22|1002|5
35|22|1004|10
36|23|1003|10
37|23|1004|5
38|24|1002|10
39|24|1004|5
40|25|1003|10
41|25|1004|5
42|26|1001|5
43|26|1004|10
44|27|1002|10
45|27|1003|5
46|28|2002|1
